merchant_id,bank_account_number,bank,description,type,registered_capital,industry,operating_status,establishment_date,legal_representative_id
c000001,A010000,3468205,Small Travel & Hospitality merchant providing services to consumers.,Small,1602013.34,Travel & Hospitality,Active,1991/4/6,p001509
c000002,A010001,4528071,Small Retail merchant providing goods to consumers.,Small,1546974.02,Retail,Active,2012/1/3,p000055
c000003,A010002,1047286,Medium Telecommunications merchant providing services to consumers.,Medium,23970184.18,Telecommunications,Active,1992/2/29,p001430
c000004,A010003,3186407,Small Food & Beverage merchant providing services to consumers.,Small,2115407.21,Food & Beverage,Active,2000/6/6,p001237
c000005,A010004,3071954,Small Utilities merchant providing services to consumers.,Small,4232320.99,Utilities,Active,2012/9/29,p001814
c000006,A010005,3295718,Medium Healthcare merchant providing services to consumers.,Medium,26382943.03,Healthcare,Active,2023/11/14,p000207
c000007,A010006,5286314,Small E-commerce merchant providing goods to consumers.,Small,3658191.41,E-commerce,Active,2015/8/31,p001328
c000008,A010007,3186407,Small Telecommunications merchant providing services to consumers.,Small,1488268.28,Telecommunications,Suspended,1999/7/20,p001727
c000009,A010008,3581974,Small Utilities merchant providing services to consumers.,Small,4609112.56,Utilities,Active,2010/6/11,p001795
c000010,A010009,4381267,Small Travel & Hospitality merchant providing services to consumers.,Small,1128336.44,Travel & Hospitality,Active,2018/6/2,p001150
c000011,A010010,2486137,Small E-commerce merchant providing goods to consumers.,Small,2792868.32,E-commerce,Active,1989/1/29,p001548
c000012,A010011,2947806,Medium Utilities merchant providing services to consumers.,Medium,14540482.16,Utilities,Under Review,2005/12/30,p001084
c000013,A010012,2657408,Medium Food & Beverage merchant providing services to consumers.,Medium,23771944.99,Food & Beverage,Suspended,2019/6/24,p001313
c000014,A010013,4693725,Large Manufacturing merchant providing goods to consumers.,Large,117469928.9,Manufacturing,Active,2019/3/7,p000366
c000015,A010014,2367901,Medium Entertainment merchant providing services to consumers.,Medium,14347846.31,Entertainment,Active,1992/3/31,p001105
c000016,A010015,2367901,Small Telecommunications merchant providing services to consumers.,Small,4454248.45,Telecommunications,Active,2022/4/23,p001653
c000017,A010016,1739462,Medium Food & Beverage merchant providing services to consumers.,Medium,29449612.34,Food & Beverage,Active,2008/11/23,p001569
c000018,A010017,1265934,Large Entertainment merchant providing services to consumers.,Large,116792661.5,Entertainment,Under Review,2009/3/11,p001547
